id,name
1,2BScientific Ltd
2,A.V. Biotech JSC
3,ABCYS SA
4,AMD
5,ANL Produkter AB
6,ANTISEL Selidis Bros s.a.
7,ATC Health Products Co. Inc.
8,ATQ Biyoteknloij
9,ATQ Biyoteknologi
10,Abdulla Fouad Holding Co.
11,Al-Hayat Pharmaceuticals U.A.E.
12,Al-Jeel Medical & Trading Co. Ltd.
13,Al-Zahrawi Medical Services Co.
14,All Eights (M) Sdn Bhd
15,Antisel A. Selidis Bros S.A.
16,Argene
17,Arrow Diagnostics S.r.l.
18,Associated Medical Supplies Co. Ltd
19,BARIA
20,BIOCORP Polska Ltd.
21,BIONOVA CIENTIFICA
22,"BIOTECHLAB-S, Medical Co"
23,BIOTEST Schweiz
24,Bader Sultan & Bros Co. W.L.L.
25,Bader Sultan & Bros Co. w.l.l.
26,Bader Sultan & Bros.
27,"Beijing Rose Co-Win Medical Tech. Co., Ltd."
28,Bio Lab S.A.
29,BioProducts
30,BioSciences / Hoora Pharma
31,Biodynamics SA
32,Bios Ingenieria Gentica SA
33,Biosciences SAS
34,Biotech Medical
35,Biotech-IgG A/S
36,Biotron Healthcare (India) P.Ltd
37,CELL SCIENCES
38,CPC Diagnostics PVT Ltd
39,"Chen Ken Hoong, Biomarketing Services (M) Sdn Bhd"
40,Choongwae Pharma
41,City Pharmacy
42,"Cosmo Bio Company, Ltd."
43,"Cybeles (Thailand) Co., Ltd."
44,DAEMYUNG SCIENCE CO. LTD
45,DIAGNOSTICA LONGWOOD s.l.
46,DICIPA
47,Diagnostic Biotech / Biogenetech
48,Diagnostic Solutions
49,Diagnostic Technology
50,Diagnostica Longwood s.l.
51,Diagnostika Pilipinas
52,Diamedica S.I.A.
53,Dicipa S.A. de C.V.
54,Dynex s.r.o.
55,ELTA 90M Ltd
56,ENCO
57,EXELIXIS Diagnostics
58,Envirolife
59,FUNAKOSHI CO. LTD
60,FujiRebio
61,GE Healthcare
62,GENETIMES TECHNOLOGY INC
63,GTI ITALIA s.r.l.
64,Gamidor Diagnostics (1984) Ltd.
65,Gen-Probe - Abingdon
66,Gen-Probe - Besancon
67,Gen-Probe - Cardiff
68,Gen-Probe - Livingston
69,Gen-Probe - Manchester
70,Gen-Probe - San Diego
71,Gen-Probe - Stamford
72,Gen-Probe - Waukesha
73,Gen-Probe - Wiesbaden
74,Gen-Probe Belgium BVBA
75,Gen-Probe Country Manager
76,Gen-Probe Deutschland GmbH
77,Gen-Probe Diaclone SAS
78,Gen-Probe European Direct Sales
79,Gen-Probe Incorporated
80,Gen-Probe Life Sciences Ltd
81,Gen-Probe Life Sciences Ltd.
82,"Gen-Probe Prodesse, Inc"
83,Gen-Probe Senior Technical Sales Representative (UK North)
84,Gen-Probe Southeast Regional Sales Manager
85,Gen-Probe Technical Sales Representative
86,"Gen-Probe Technical Sales Representative (Canada - Alberta, British Columbia)"
87,"Gen-Probe Technical Sales Representative (Canada - Manitoba, Saskatchewan)"
88,"Gen-Probe Technical Sales Representative (Canada - Newfoundland, New Brunswick, Nova Scotia, Quebec)"
89,Gen-Probe Technical Sales Representative (Canada - Ontario)
90,Gen-Probe Technical Sales Representative (German Speaking)
91,Gen-Probe Technical Sales Representative (UK South)
92,Gen-Probe Territory Manager
93,Gen-Probe Transplant Diagnostics Inc.
94,Gen-Probe Wiesbaden
95,GenXpress Service & Vertrieb GmbH
96,Grifols Chile
97,H?LZEL DIAGNOSTIKA Handels GmbH
98,IEPSA
99,ILEX Biotech CEE
100,ILEX Medical
101,IMMUNIQ
102,INALCO S.p.A
103,"IZASA, S.A."
104,IlEX S.A
105,Immuno Diagnostic Oy
106,Immuno Diagnostics Oy
107,Immunochem S.A.C.
108,Immunolab Laboratorios C.A.
109,"Industrias Bioselec, S.A. de C.V."
110,Inno-Train Diagnostics GmbH
111,Inno-Train Diagnostik GmbH
112,Innomeditech Inc
113,Innovative Biotech
114,Innovative Biotech Pte Ltd
115,"Interlux, SIA"
116,"Interlux, UAB"
117,Inverness/Med-Ox Diagnostics
118,Inversiones Sagrav
119,Jasika d.o.o.
120,Lab Depot S.A.
121,Laboratoires AAZ
122,"Laboratorios Geminis, c.a."
123,Laboratorios Tresul
124,Labtronic
125,LeanGene for Medical & Electronic Supplies
126,Linea Libera
127,Logaland
128,Lucron Bioproducts bvba
129,MILENIA BIOTEC GmbH
130,MOLGEN BIYOTEKNOLOJI LAB. MALZ. SAN VE T??C. LTD.??T??
131,MasterCare / Andromaco
132,MedKim / ILEX Medical
133,"Medical Supply Co, Ltd"
134,Medicom
135,Metek Lab Inc.
136,Mikromed
137,Modern Laboratory Service Inc.
138,Montebello Diagnostics AS
139,NEW KOREA INDUSTRIAL CO. LTD
140,NORDIC BIOSITE
141,NORDIC BIOSITE AS
142,NORDIC BIOSITE ApS
143,NORDIC BIOSITE OY
144,Nyala Technologies (Pty) Ltd.
145,PADGINTEB
146,PANTEC S.r.l
147,PROBO d.o.o.
